Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Fee,Swap,Profit,Balance
2024.12.02 06:42:17,20331065905,,balance,,,,,0,0,0,31.81,31.81
2024.12.02 08:16:09,20331121120,Boom 1000 Index,buy,in,0.2,20702.076,20298211332,0,0,0,0,31.81
2024.12.02 08:16:10,20331121125,Boom 1000 Index,buy,in,0.2,20702.066,20298211347,0,0,0,0,31.81
2024.12.02 08:16:12,20331121171,Boom 1000 Index,buy,in,0.2,20702.022,20298211388,0,0,0,0,31.81
2024.12.02 08:16:13,20331121182,Boom 1000 Index,buy,in,0.2,20701.994,20298211394,0,0,0,0,31.81
2024.12.02 08:34:05,20331133574,Boom 1000 Index,sell,out,0.2,20678.65,20298223559,0,0,0,-4.69,27.12
2024.12.02 08:37:24,20331135710,Boom 1000 Index,sell,out,0.2,20674.539,20298225670,0,0,0,-5.51,21.61
2024.12.02 08:37:25,20331135720,Boom 1000 Index,sell,out,0.2,20674.531,20298225675,0,0,0,-5.5,16.11
2024.12.02 08:37:26,20331135724,Boom 1000 Index,sell,out,0.2,20674.523,20298225681,0,0,0,-5.49,10.62
2024.12.02 10:25:45,20331211488,Boom 1000 Index,buy,in,0.2,20648.136,20298251093,0,0,0,0,10.62
2024.12.02 10:42:22,20331223397,Boom 1000 Index,sell,out,0.2,20625.958,20298312094,0,0,0,-4.44,6.18
2024.12.02 15:43:09,20331451852,,balance,,,,,0,0,0,43.48,49.66
2024.12.03 07:46:07,20331942679,Boom 1000 Index,buy,in,0.2,20466.447,20299004185,0,0,0,0,49.66
2024.12.03 07:46:12,20331942733,Boom 1000 Index,buy,in,0.2,20466.357,20299004265,0,0,0,0,49.66
2024.12.03 07:46:16,20331942794,Boom 1000 Index,buy,in,0.2,20466.276,20299004318,0,0,0,0,49.66
2024.12.03 07:46:21,20331942862,Boom 1000 Index,buy,in,0.2,20466.161,20299004390,0,0,0,0,49.66
2024.12.03 08:11:48,20331961411,Boom 1000 Index,sell,out,0.2,20469.78,20299022526,0,0,0,0.67,50.33
2024.12.03 08:11:50,20331961438,Boom 1000 Index,sell,out,0.2,20469.738,20299022537,0,0,0,0.68,51.01
2024.12.03 08:11:52,20331961450,Boom 1000 Index,sell,out,0.2,20469.693,20299022552,0,0,0,0.68,51.69
2024.12.03 08:11:53,20331961463,Boom 1000 Index,sell,out,0.2,20469.689,20299022573,0,0,0,0.71,52.4
2024.12.03 08:13:24,20331962586,Boom 1000 Index,buy,in,0.2,20486.361,20299023681,0,0,0,0,52.4
2024.12.03 08:13:26,20331962642,Boom 1000 Index,buy,in,0.2,20486.322,20299023734,0,0,0,0,52.4
2024.12.03 08:13:29,20331962686,Boom 1000 Index,buy,in,0.2,20486.209,20299023775,0,0,0,0,52.4
2024.12.03 08:13:31,20331962706,Boom 1000 Index,buy,in,0.2,20486.167,20299023795,0,0,0,0,52.4
2024.12.03 09:17:11,20332009539,Boom 1000 Index,sell,out,0.2,20498.078,20299069894,0,0,0,2.34,54.74
2024.12.03 09:17:11,20332009540,Boom 1000 Index,sell,out,0.2,20498.078,20299069895,0,0,0,2.35,57.09
2024.12.03 09:17:11,20332009541,Boom 1000 Index,sell,out,0.2,20498.078,20299069896,0,0,0,2.37,59.46
2024.12.03 09:17:11,20332009542,Boom 1000 Index,sell,out,0.2,20498.078,20299069897,0,0,0,2.38,61.84
2024.12.03 09:17:41,20332010019,Boom 1000 Index,buy,in,0.2,20551.698,20299070351,0,0,0,0,61.84
2024.12.03 09:17:42,20332010026,Boom 1000 Index,buy,in,0.2,20551.658,20299070366,0,0,0,0,61.84
2024.12.03 09:17:43,20332010045,Boom 1000 Index,buy,in,0.2,20551.638,20299070375,0,0,0,0,61.84
2024.12.03 09:17:44,20332010056,Boom 1000 Index,buy,in,0.2,20551.61,20299070383,0,0,0,0,61.84
2024.12.03 09:18:49,20332010890,Boom 1000 Index,sell,out,0.2,20548.485,20299071186,0,0,0,-0.64,61.2
2024.12.03 09:18:49,20332010891,Boom 1000 Index,sell,out,0.2,20548.485,20299071188,0,0,0,-0.63,60.57
2024.12.03 09:18:49,20332010892,Boom 1000 Index,sell,out,0.2,20548.485,20299071189,0,0,0,-0.63,59.94
2024.12.03 09:18:49,20332010893,Boom 1000 Index,sell,out,0.2,20548.485,20299071190,0,0,0,-0.63,59.31
2024.12.03 11:06:21,20332092599,Boom 900 Index,buy,in,0.2,9785.564,20299146752,0,0,0,0,59.31
2024.12.03 11:06:23,20332092623,Boom 900 Index,buy,in,0.2,9785.538,20299146768,0,0,0,0,59.31
2024.12.03 11:06:25,20332092641,Boom 900 Index,buy,in,0.2,9785.494,20299146785,0,0,0,0,59.31
2024.12.03 11:24:59,20332106735,Boom 900 Index,buy,in,1,9772.785,20299106306,0,0,0,0,59.31
2024.12.03 11:29:55,20332109693,Boom 900 Index,sell,out,1,9769.051,20299162481,0,0,0,-3.73,55.58
2024.12.03 11:59:40,20332131939,Crash 500 Index,buy,in,0.2,4301.748,20299184509,0,0,0,0,55.58
2024.12.03 12:01:17,20332133437,Boom 900 Index,buy,in,0.2,9784.948,20299186008,0,0,0,0,55.58
2024.12.03 12:01:18,20332133459,Boom 900 Index,buy,in,0.2,9784.944,20299186023,0,0,0,0,55.58
