Open Time,Order,Symbol,Type,Volume,Volume ,Price ,Price,S / L,T / P,Time,State
2024.11.21 06:58:08,20290059743,Jump 25 Index,buy limit,0.05 / 0,0.05,87468.39,87468.39,,,2024.12.03 10:42:22,canceled
2024.11.29 14:11:23,20296189722,Boom 1000 Index,buy limit,1 / 0,1,20745.558,20745.558,20386.9629,,2024.12.02 04:01:07,rejected
2024.11.29 14:59:51,20296221024,Boom 1000 Index,buy limit,1 / 0,1,20280.9103,20280.9103,20269.3231,,2024.12.02 06:36:53,canceled
2024.12.02 06:36:39,20298154112,Boom 1000 Index,buy limit,1 / 0,1,20703.1904,20703.1904,,,2024.12.02 08:15:13,rejected
2024.12.02 08:16:08,20298211332,Boom 1000 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.02 08:16:09,filled
2024.12.02 08:16:10,20298211347,Boom 1000 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.02 08:16:10,filled
2024.12.02 08:16:11,20298211388,Boom 1000 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.02 08:16:12,filled
2024.12.02 08:16:12,20298211394,Boom 1000 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.02 08:16:13,filled
2024.12.02 08:34:05,20298223559,Boom 1000 Index,sell,0.2 / 0.2,0.2,20678.65,20678.65,,,2024.12.02 08:34:05,filled
2024.12.02 08:37:23,20298225670,Boom 1000 Index,sell,0.2 / 0.2,0.2,,market,,,2024.12.02 08:37:24,filled
2024.12.02 08:37:24,20298225675,Boom 1000 Index,sell,0.2 / 0.2,0.2,,market,,,2024.12.02 08:37:25,filled
2024.12.02 08:37:26,20298225681,Boom 1000 Index,sell,0.2 / 0.2,0.2,,market,,,2024.12.02 08:37:26,filled
2024.12.02 09:16:01,20298251093,Boom 1000 Index,buy limit,0.2 / 0.2,0.2,20648.2096,20648.2096,,,2024.12.02 10:25:45,filled
2024.12.02 09:16:06,20298251151,Boom 1000 Index,buy limit,0.2 / 0,0.2,20647.299,20647.299,,,2024.12.02 10:26:26,rejected
2024.12.02 09:16:16,20298251262,Boom 1000 Index,buy limit,0.2 / 0,0.2,20646.8437,20646.8437,,,2024.12.02 10:26:33,canceled
2024.12.02 10:42:21,20298312094,Boom 1000 Index,sell,0.2 / 0.2,0.2,,market,,,2024.12.02 10:42:22,filled
2024.12.02 15:03:10,20298501792,Boom 1000 Index,buy limit,1 / 0,1,20277.356,20277.356,20217.1332,,2024.12.02 15:03:30,canceled
2024.12.02 15:03:39,20298502395,Boom 1000 Index,buy limit,1 / 0,1,20278.9034,20278.9034,,,2024.12.02 15:03:53,canceled
2024.12.02 15:04:04,20298502703,Boom 1000 Index,buy limit,0.2 / 0,0.2,20282.549,20282.549,,,2024.12.02 15:18:05,canceled
2024.12.02 15:04:13,20298502830,Boom 1000 Index,buy limit,0.2 / 0,0.2,20281.0907,20281.0907,,,2024.12.02 15:18:01,canceled
2024.12.02 15:04:21,20298502939,Boom 1000 Index,buy limit,0.2 / 0,0.2,20280.3616,20280.3616,,,2024.12.02 15:17:54,canceled
2024.12.02 15:04:31,20298503087,Boom 1000 Index,buy limit,0.2 / 0,0.2,20282.549,20282.549,,,2024.12.02 15:17:50,canceled
2024.12.02 15:13:04,20298509951,Crash 1000 Index,sell limit,0.2 / 0,0.2,5584.8295,5584.8295,5588.9799,,2024.12.03 13:14:57,canceled
2024.12.02 15:13:16,20298510109,Crash 1000 Index,sell limit,0.2 / 0,0.2,5584.8361,5584.8361,5589.0285,,2024.12.03 13:15:04,canceled
2024.12.02 15:14:10,20298511050,Crash 1000 Index,sell limit,0.2 / 0,0.2,5584.1653,5584.1653,5589.0285,,2024.12.03 13:15:08,canceled
2024.12.02 15:14:21,20298511198,Crash 1000 Index,sell limit,0.2 / 0,0.2,5584.5007,5584.5007,,,2024.12.03 13:15:12,canceled
2024.12.02 15:14:27,20298511270,Crash 1000 Index,sell limit,0.2 / 0,0.2,5584.5007,5584.5007,5589.0285,,2024.12.03 13:15:18,canceled
2024.12.02 15:14:40,20298511375,Crash 1000 Index,sell limit,0.2 / 0,0.2,5584.6319,5584.6319,5588.9799,,2024.12.03 13:15:22,canceled
2024.12.02 15:14:47,20298511458,Crash 1000 Index,sell limit,0.2 / 0,0.2,5584.5063,5584.5063,5588.8236,,2024.12.03 13:15:30,canceled
2024.12.02 15:14:55,20298511504,Crash 1000 Index,sell limit,0.2 / 0,0.2,5584.6319,5584.6319,5589.3752,,2024.12.03 13:15:33,canceled
2024.12.02 15:19:11,20298514178,Boom 1000 Index,buy limit,0.2 / 0,0.2,20334.7331,20334.7331,20311.3453,,2024.12.02 18:59:03,canceled
2024.12.02 15:19:23,20298514280,Boom 1000 Index,buy limit,0.2 / 0,0.2,20336.0636,20336.0636,20311.0725,,2024.12.02 18:59:03,canceled
2024.12.02 15:19:39,20298514443,Boom 1000 Index,buy limit,0.2 / 0,0.2,20334.2705,20334.2705,20317.4768,,2024.12.02 18:59:03,canceled
2024.12.02 15:19:50,20298514625,Boom 1000 Index,buy limit,0.2 / 0,0.2,20335.7975,20335.7975,20316.7017,,2024.12.02 18:59:03,canceled
2024.12.02 17:17:20,20298597667,Step Index,buy limit,0.2 / 0,0.2,8203.9,8203.9,8201.6,,2024.12.03 10:42:49,canceled
2024.12.02 17:21:48,20298600454,Boom 1000 Index,buy limit,0.2 / 0,0.2,20324.4526,20324.4526,20317.4768,,2024.12.02 18:59:03,canceled
2024.12.02 17:22:00,20298600620,Boom 1000 Index,buy limit,0.2 / 0,0.2,20325.4861,20325.4861,,,2024.12.02 18:59:03,canceled
2024.12.02 18:59:13,20298663403,Boom 1000 Index,buy limit,0.2 / 0,0.2,20328.428,20328.428,20314.5542,,2024.12.03 13:15:37,canceled
2024.12.02 18:59:20,20298663478,Boom 1000 Index,buy limit,0.2 / 0,0.2,20328.428,20328.428,20314.6704,,2024.12.03 13:15:41,canceled
2024.12.02 18:59:28,20298663573,Boom 1000 Index,buy limit,0.2 / 0,0.2,20326.7979,20326.7979,20314.7641,,2024.12.03 13:15:45,canceled
2024.12.02 18:59:39,20298663683,Boom 1000 Index,buy limit,0.2 / 0,0.2,20328.428,20328.428,20314.7444,,2024.12.03 13:15:48,canceled
2024.12.02 21:17:07,20298756219,Crash 500 Index,sell limit,0.2 / 0,0.2,4366.204,4366.204,4373.966,,2024.12.03 13:15:52,canceled
2024.12.02 21:17:16,20298756272,Crash 500 Index,sell limit,0.2 / 0,0.2,4365.833,4365.833,4373.966,,2024.12.03 13:15:55,canceled
2024.12.02 21:17:27,20298756340,Crash 500 Index,sell limit,0.2 / 0,0.2,4365.981,4365.981,4373.966,,2024.12.03 13:15:58,canceled
2024.12.02 21:17:36,20298756403,Crash 500 Index,sell limit,0.2 / 0,0.2,4366.055,4366.055,4373.966,,2024.12.03 13:16:01,canceled
2024.12.02 21:17:53,20298756538,Crash 500 Index,sell limit,0.2 / 0,0.2,4365.611,4365.611,4373.966,,2024.12.03 13:16:05,canceled
2024.12.02 21:58:52,20298776116,Crash 500 Index,sell limit,0.2 / 0,0.2,4366.007,4366.007,4374.136,,2024.12.03 13:16:08,canceled
2024.12.02 21:59:15,20298776308,Crash 500 Index,sell limit,0.2 / 0,0.2,4365.575,4365.575,4373.704,,2024.12.03 13:16:11,canceled
2024.12.02 21:59:28,20298776384,Crash 500 Index,sell limit,0.2 / 0,0.2,4365.92,4365.92,4373.793,,2024.12.03 13:16:15,canceled
2024.12.02 21:59:44,20298776518,Crash 500 Index,sell limit,0.2 / 0,0.2,4365.892,4365.892,4373.779,,2024.12.03 13:16:18,canceled
2024.12.02 22:00:45,20298777060,Crash 1000 Index,sell limit,0.2 / 0,0.2,5584.5167,5584.5167,5589.2303,,2024.12.03 13:16:21,canceled
2024.12.02 22:01:02,20298777233,Crash 1000 Index,sell limit,0.2 / 0,0.2,5584.3694,5584.3694,5589.0082,,2024.12.03 13:16:24,canceled
2024.12.03 07:46:06,20299004185,Boom 1000 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.03 07:46:07,filled
2024.12.03 07:46:12,20299004265,Boom 1000 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.03 07:46:12,filled
2024.12.03 07:46:16,20299004318,Boom 1000 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.03 07:46:16,filled
2024.12.03 07:46:20,20299004390,Boom 1000 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.03 07:46:21,filled
2024.12.03 08:11:47,20299022526,Boom 1000 Index,sell,0.2 / 0.2,0.2,,market,,,2024.12.03 08:11:48,filled
2024.12.03 08:11:50,20299022537,Boom 1000 Index,sell,0.2 / 0.2,0.2,,market,,,2024.12.03 08:11:50,filled
2024.12.03 08:11:51,20299022552,Boom 1000 Index,sell,0.2 / 0.2,0.2,,market,,,2024.12.03 08:11:52,filled
2024.12.03 08:11:53,20299022573,Boom 1000 Index,sell,0.2 / 0.2,0.2,,market,,,2024.12.03 08:11:53,filled
2024.12.03 08:13:24,20299023681,Boom 1000 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.03 08:13:24,filled
2024.12.03 08:13:25,20299023734,Boom 1000 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.03 08:13:26,filled
2024.12.03 08:13:28,20299023775,Boom 1000 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.03 08:13:29,filled
2024.12.03 08:13:30,20299023795,Boom 1000 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.03 08:13:31,filled
2024.12.03 09:17:10,20299069894,Boom 1000 Index,sell,0.2 / 0.2,0.2,,market,,,2024.12.03 09:17:11,filled
2024.12.03 09:17:10,20299069895,Boom 1000 Index,sell,0.2 / 0.2,0.2,,market,,,2024.12.03 09:17:11,filled
2024.12.03 09:17:10,20299069896,Boom 1000 Index,sell,0.2 / 0.2,0.2,,market,,,2024.12.03 09:17:11,filled
2024.12.03 09:17:10,20299069897,Boom 1000 Index,sell,0.2 / 0.2,0.2,,market,,,2024.12.03 09:17:11,filled
2024.12.03 09:17:40,20299070351,Boom 1000 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.03 09:17:41,filled
2024.12.03 09:17:41,20299070366,Boom 1000 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.03 09:17:42,filled
2024.12.03 09:17:43,20299070375,Boom 1000 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.03 09:17:43,filled
2024.12.03 09:17:43,20299070383,Boom 1000 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.03 09:17:44,filled
2024.12.03 09:18:48,20299071186,Boom 1000 Index,sell,0.2 / 0.2,0.2,,market,,,2024.12.03 09:18:49,filled
2024.12.03 09:18:48,20299071188,Boom 1000 Index,sell,0.2 / 0.2,0.2,,market,,,2024.12.03 09:18:49,filled
2024.12.03 09:18:48,20299071189,Boom 1000 Index,sell,0.2 / 0.2,0.2,,market,,,2024.12.03 09:18:49,filled
2024.12.03 09:18:48,20299071190,Boom 1000 Index,sell,0.2 / 0.2,0.2,,market,,,2024.12.03 09:18:49,filled
2024.12.03 10:04:25,20299104309,Volatility 50 Index,buy limit,4 / 0,4,309.7701,309.7701,308.9644,,2024.12.03 13:16:38,canceled
2024.12.03 10:04:41,20299104480,Volatility 50 Index,buy limit,4 / 0,4,309.7701,309.7701,308.9644,,2024.12.03 13:16:42,canceled
2024.12.03 10:06:57,20299106306,Boom 900 Index,buy limit,1 / 1,1,9772.795,9772.795,9769.098,,2024.12.03 11:24:59,filled
2024.12.03 10:55:37,20299139793,Boom 900 Index,buy limit,1 / 0,1,9772.511,9772.511,9768.939,,2024.12.03 11:25:23,rejected
2024.12.03 11:06:21,20299146752,Boom 900 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.03 11:06:21,filled
2024.12.03 11:06:22,20299146768,Boom 900 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.03 11:06:23,filled
2024.12.03 11:06:24,20299146785,Boom 900 Index,buy,0.2 / 0.2,0.2,,market,,,2024.12.03 11:06:25,filled
2024.12.03 11:29:54,20299162481,Boom 900 Index,sell,1 / 1,1,9769.098,9769.098,,,2024.12.03 11:29:55,filled
2024.12.03 11:38:06,20299168272,Boom 900 Index,buy limit,1 / 0,1,9769.846,9769.846,,,2024.12.03 12:47:12,canceled
2024.12.03 11:38:23,20299168644,Boom 900 Index,buy limit,1 / 0,1,9769.663,9769.663,,,2024.12.03 11:51:07,canceled
